from read-cmdline
x, sin(x), cos(x)
1, 0.841470984807897, 0.54030230586814
2, 0.909297426825682, -0.416146836547142
3, 0.141120008059867, -0.989992496600445
42, -0.916521547915634, -0.399985314988351
69, -0.114784813783187, 0.993390379722272
100100, 0.536868839111286, -0.843665721474625
From read-stdin
x, sin(x), cos(x)
1, 0.841470984807897, 0.54030230586814
2, 0.909297426825682, -0.416146836547142
3, 0.141120008059867, -0.989992496600445
42, -0.916521547915634, -0.399985314988351
69, -0.114784813783187, 0.993390379722272
100100, 0.536868839111286, -0.843665721474625
